propertycrimes,violentcrimes
4485.1,448.5
5209.7,436
7519.9,650.9
3475.9,335.2
6939.5,893.6
6804.9,528.6
5469.2,412.5
6301.8,474.8
8012.2,2010.6
7418.4,983.5
5048.3,555.3
7182.8,299.5
4468.8,313.4
5461.1,808
4552.5,377.8
4546.4,200.4
4989.5,389.3
3167.1,266.7
4788.8,665
4174.2,193.4
5777.7,852.4
5477.8,601.3
6036.4,639.5
4571.7,227.8
3075.2,341.9
4878.6,554.5
4801.9,222.6
4080.6,224.6
7941.4,912.6
4499.8,179.8
5797,604.4
5364.1,615
5882,1029.5
4185.5,455
2909.7,54
4933.1,498.3
4633.4,419.5
6196.5,490.4
3372.4,363.9
5524.1,408.5
4779.2,660
3116.3,126.8
4039.8,458.1
5592.7,550.3
5577.3,303.3
4809.7,178.8
4312.8,307.2
6450.7,464.3
2367.9,183.7
4616,182.6
4593.8,392.6
4428.3,470.5
5979.1,615.8
7038.1,575.8
3486.1,310.3
6727.5,863
6821.4,531.7
5389.2,448.1
6180.3,509
8402.8,2274.8
7067.4,965.1
5080.4,548.2
6295.8,247.6
4247.4,283.3
5323.2,792.5
4198.2,341.6
4512.4,204.2
5034.9,369.4
3242,289.5
4629.4,638.3
4047.7,195.6
5670.6,887.1
5206.7,628.6
6212.2,641.9
4508.2,228.5
3232.8,304.6
4811.2,540.2
4765.9,253
3996,181.5
7695.5,896.4
4174.8,147.1
5549.2,630.6
5528.9,671.7
5835.8,1069.6
4083.5,436.7
2923.6,67.5
4950.8,496.6
4410.5,426.8
6558.2,478.7
3311.5,371.7
5410.1,441.7
4678.7,640.4
2908.3,104.8
3898.9,412.6
5517.9,532.4
5451.4,298.6
4932.8,128
4349.1,321.7
6294.8,447.3
2443.9,174.8
4579,187.9
4701.8,430.1
4185.8,447.7
5588.8,623.7
6614,517
3546.9,324.7
6470.7,814.7
6575.7,504.2
5028,399.5
5825.1,559.8
8287.6,2123.1
6568.4,896.8
4736.6,478.2
6328.6,255.7
3824,259.2
5066,774.3
4128.9,300.6
3963.8,172.7
4616.1,335.9
3253.4,315
4642.1,669.1
3696.7,163
5162.3,850
4932.4,571.4
6128,656.6
4235.4,219.3
3278,294.6
4441.3,506.5
4108.4,224.8
3721.2,229.6
7095.6,805.4
3704.4,124.8
5068.8,607.4
5873.1,734.5
5478.1,990.1
4096.9,446.3
2586.3,61.8
4498.8,436.7
4778.5,443.9
6094.5,473
3092.3,360.4
4962.3,401.8
4641.2,720
2545.9,99
3992.5,421.1
5725.1,577.1
5048.3,285.7
4564.9,126.9
3946.7,309.1
5875.8,406.4
2336.4,174.8
4248.6,190.5
4499.8,304.2
3685,416
5404.8,613.8
5897.4,494.2
3202.9,297.7
5904.9,772.6
6150.7,476.4
4602.8,375
5012.9,453.1
7358.4,1915.4
5954.4,826.7
4048.5,456.7
5557.5,252.1
3627.1,238.7
4813.3,728.1
3846,283.8
3737.9,181.1
4203.2,326.6
3112.6,322.2
4385.7,640.9
3521.6,159.6
4549.9,807.1
4434,576.8
5760.8,716.7
3843.3,190.9
2927.7,280.4
4052.7,477.2
4431.8,212.6
3569.9,217.7
6046.1,655.2
3231.2,125.1
4610.3,553.1
5659.4,686.8
4988.5,914.1
3774.1,409.6
2621.8,53.7
4107.2,397.9
4505.7,423.4
5763,487.8
2852.6,342.8
4650.3,355.2
4154.1,616.8
2427.6,120
3609.6,402
5395,512.2
4862,256
4000.2,132.6
3669,292.5
5706,371.8
2247.2,171.8
4064.8,190.9
3776.7,237.2
