State,Year,population
AL,1980,3893888
AK,1980,401851
AZ,1980,2718215
AR,1980,2286435
CA,1980,23667902
CO,1980,2889964
CT,1980,3107576
DE,1980,594338
DC,1980,638333
FL,1980,9746324
GA,1980,5463105
HI,1980,964691
ID,1980,943935
IL,1980,11426518
IN,1980,5490224
IA,1980,2913808
KS,1980,2363679
KY,1980,3660777
LA,1980,4205900
ME,1980,1124660
MD,1980,4216975
MA,1980,5737037
MI,1980,9262078
MN,1980,4075970
MS,1980,2520638
MO,1980,4916686
MT,1980,786690
NE,1980,1569825
NV,1980,800493
NH,1980,920610
NJ,1980,7364823
NM,1980,1302894
NY,1980,17558072
NC,1980,5881766
ND,1980,652717
OH,1980,10797630
OK,1980,3025290
OR,1980,2633105
PA,1980,11863895
RI,1980,947154
SC,1980,3121820
SD,1980,690768
TN,1980,4591120
TX,1980,14229191
UT,1980,1461037
VT,1980,511456
VA,1980,5346818
WA,1980,4132156
WV,1980,1949644
WI,1980,4705767
WY,1980,469557
AL,1981,3918531
AK,1981,418491
AZ,1981,2810107
AR,1981,2293201
CA,1981,24285933
CO,1981,2977898
CT,1981,3128836
DE,1981,595975
DC,1981,636893
FL,1981,10192774
GA,1981,5568345
HI,1981,978195
ID,1981,962204
IL,1981,11443458
IN,1981,5480435
IA,1981,2907983
KS,1981,2384849
KY,1981,3670394
LA,1981,4283303
ME,1981,1133033
MD,1981,4261905
MA,1981,5768685
MI,1981,9209287
MN,1981,4111728
MS,1981,2539036
MO,1981,4932064
MT,1981,795328
NE,1981,1578515
NV,1981,847655
NH,1981,936621
NJ,1981,7407472
NM,1981,1332748
NY,1981,17567734
NC,1981,5956653
ND,1981,659505
OH,1981,10788330
OK,1981,3096164
OR,1981,2667982
PA,1981,11858567
RI,1981,953013
SC,1981,3179255
SD,1981,689584
TN,1981,4627658
TX,1981,14746318
UT,1981,1515471
VT,1981,515594
VA,1981,5444097
WA,1981,4235731
WV,1981,1954124
WI,1981,4726343
WY,1981,491712
AL,1982,3925266
AK,1982,449606
AZ,1982,2889861
AR,1982,2294257
CA,1982,24820009
CO,1982,3061564
CT,1982,3139013
DE,1982,599148
DC,1982,634174
FL,1982,10471407
GA,1982,5649792
HI,1982,993780
ID,1982,973721
IL,1982,11423412
IN,1982,5467922
IA,1982,2888189
KS,1982,2401202
KY,1982,3683445
LA,1982,4352608
ME,1982,1136684
MD,1982,4282923
MA,1982,5771222
MI,1982,9115198
MN,1982,4131450
MS,1982,2556777
MO,1982,4929451
MT,1982,803986
NE,1982,1581780
NV,1982,881537
NH,1982,947719
NJ,1982,7430968
NM,1982,1363823
NY,1982,17589738
NC,1982,6019101
ND,1982,668972
OH,1982,10757087
OK,1982,3206123
OR,1982,2664922
PA,1982,11845146
RI,1982,954170
SC,1982,3207614
SD,1982,690597
TN,1982,4646041
TX,1982,15331415
UT,1982,1558314
VT,1982,519109
VA,1982,5492783
WA,1982,4276552
WV,1982,1949604
WI,1982,4728870
WY,1982,506400
AL,1983,3934102
AK,1983,488417
AZ,1983,2968925
AR,1983,2305761
CA,1983,25360026
CO,1983,3133630
CT,1983,3162354
DE,1983,605458
DC,1983,632433
FL,1983,10749851
GA,1983,5728250
HI,1983,1012717
ID,1983,981869
IL,1983,11408818
IN,1983,5450395
IA,1983,2870543
KS,1983,2415531
KY,1983,3694484
LA,1983,4395316
ME,1983,1144772
MD,1983,4313327
MA,1983,5799407
MI,1983,9047754
MN,1983,4141456
MS,1983,2567717
MO,1983,4943733
MT,1983,814031
NE,1983,1584293
NV,1983,901977
NH,1983,958134
NJ,1983,7467785
NM,1983,1394361
NY,1983,17686905
NC,1983,6077056
ND,1983,676688
OH,1983,10737632
OK,1983,3290402
OR,1983,2653066
PA,1983,11837723
RI,1983,956382
SC,1983,3234066
SD,1983,693008
TN,1983,4659749
TX,1983,15751676
UT,1983,1594943
VT,1983,523302
VA,1983,5564657
WA,1983,4300266
WV,1983,1945061
WI,1983,4721438
WY,1983,510345
